provider,cidr,region
hetzner,5.9.0.0/16,
hetzner,5.75.128.0/17,
hetzner,23.88.0.0/17,
hetzner,37.27.0.0/16,
hetzner,45.15.99.0/24,
hetzner,45.145.227.0/24,
hetzner,46.4.0.0/16,
hetzner,46.62.128.0/17,
hetzner,46.224.0.0/15,
hetzner,49.12.0.0/15,
hetzner,65.21.0.0/16,
hetzner,65.108.0.0/15,
hetzner,77.42.0.0/17,
hetzner,78.46.0.0/15,
hetzner,78.138.62.0/24,
hetzner,85.10.192.0/18,
hetzner,88.99.0.0/16,
hetzner,88.198.0.0/16,
hetzner,91.98.0.0/15,
hetzner,91.107.128.0/17,
hetzner,91.190.240.0/21,
hetzner,94.130.0.0/16,
hetzner,95.216.0.0/15,
hetzner,116.202.0.0/15,
hetzner,128.140.0.0/17,
hetzner,135.181.0.0/16,
hetzner,136.243.0.0/16,
hetzner,138.199.128.0/17,
hetzner,138.201.0.0/16,
hetzner,139.28.242.0/23,
hetzner,142.132.128.0/17,
hetzner,144.76.0.0/16,
hetzner,148.251.0.0/16,
hetzner,157.90.0.0/16,
hetzner,157.180.0.0/17,
hetzner,159.69.0.0/16,
hetzner,162.55.0.0/16,
hetzner,167.233.0.0/16,
hetzner,167.235.0.0/16,
hetzner,168.119.0.0/16,
hetzner,171.25.225.0/24,
hetzner,176.9.0.0/16,
hetzner,178.63.0.0/16,
hetzner,178.212.75.0/24,
hetzner,185.12.65.0/24,
hetzner,185.50.120.0/23,
hetzner,185.107.52.0/22,
hetzner,185.126.28.0/22,
hetzner,185.157.83.0/24,
hetzner,185.157.176.0/22,
hetzner,185.171.224.0/22,
hetzner,185.189.228.0/22,
hetzner,185.213.45.0/24,
hetzner,185.216.237.0/24,
hetzner,185.226.99.0/24,
hetzner,185.228.8.0/23,
hetzner,188.34.128.0/17,
hetzner,188.40.0.0/16,
hetzner,188.245.0.0/16,
hetzner,193.110.6.0/23,
hetzner,193.163.198.0/24,
hetzner,194.42.180.0/22,
hetzner,194.42.184.0/22,
hetzner,194.62.106.0/24,
hetzner,195.60.226.0/24,
hetzner,195.201.0.0/16,
hetzner,195.248.224.0/24,
hetzner,197.242.84.0/22,
hetzner,201.131.3.0/24,
hetzner,204.29.146.0/24,
hetzner,213.133.96.0/19,
hetzner,213.239.192.0/18,
hetzner,216.55.108.0/22,
hetzner,2a01:4f8::/31,
